craft_id,craft_name,category,material_cost,labor_hours,weight_kg,is_gi_tagged,complexity_score,artisan_experience_years,texture_roughness_index,organic_dye_purity,is_genuine_handmade,sample_dialect_phrase,protected_artisan_wage,fair_market_price
SIH-CRAFT-0001,Jaipur Blue Pottery,Blue Pottery,501.27,9.1,2.22,1,2,40,0.789,0.709,1,नीली मिट्टी का फूलदान,2501.9,4526.78
SIH-CRAFT-0002,Varanasi Silk Handloom,Handloom Silk,961.03,24.7,0.92,1,5,29,0.723,0.871,1,बनारसी कतान सिल्क,6857.0,11026.84
SIH-CRAFT-0003,Mithila Madhubani Painting,Madhubani,437.14,12.4,0.77,1,4,9,0.681,0.728,1,प्राकृतिक रंग चित्र,2900.2,4977.91
SIH-CRAFT-0004,Zari Zardozi Embroidery,Zari Embroidery,495.62,21.5,0.39,0,5,8,0.832,0.941,1,मखमली सूट पीस,4957.5,7361.71
SIH-CRAFT-0005,Saharanpur Wood Carving,Wood Carving,1104.57,7.1,1.64,1,4,8,0.932,0.951,1,हाथ से तराशा बॉक्स,1632.3,4167.27
SIH-CRAFT-0006,Moradabad Brassware,Brass Craft,1600.93,11.3,3.1,1,4,7,0.851,0.75,1,हाथ की ढलाई,2568.4,6101.1
SIH-CRAFT-0007,Varanasi Silk Handloom,Handloom Silk,1772.75,59.5,0.91,1,5,17,0.876,0.944,1,बनारसी कतान सिल्क,15725.0,24094.46
SIH-CRAFT-0008,Varanasi Silk Handloom,Handloom Silk,2751.61,33.7,0.45,1,5,23,0.72,0.845,1,जरी पल्लू,9107.0,16481.62
SIH-CRAFT-0009,Mithila Madhubani Painting,Madhubani,385.65,23.7,0.28,1,5,30,0.946,0.816,1,गोबर लीपा कैनवास,6019.5,9119.45
SIH-CRAFT-0010,Mithila Madhubani Painting,Madhubani,300.0,9.3,0.18,1,5,13,0.911,0.822,1,मिथिला पेंटिंग,2380.5,4091.18
SIH-CRAFT-0011,Kutch Bandhani & Ajrakh,Bandhani,1096.9,14.5,0.88,1,2,10,0.875,0.856,1,अजरख ब्लॉक प्रिंट,2963.0,5953.36
SIH-CRAFT-0012,Saharanpur Wood Carving,Wood Carving,834.77,16.9,4.33,1,4,35,0.901,0.847,1,शीशम की लकड़ी की जाली,4124.7,7167.78
SIH-CRAFT-0013,Moradabad Brassware,Brass Craft,1209.2,12.0,3.18,1,3,37,0.965,0.968,1,पीतल का नक्काशीदार दीया,3027.0,6191.37
SIH-CRAFT-0014,Zari Zardozi Embroidery,Zari Embroidery,470.45,33.2,0.92,0,4,18,0.669,0.955,1,जरदोज़ी का काम,7341.6,10546.27
SIH-CRAFT-0015,Jaipur Blue Pottery,Blue Pottery,798.81,19.7,1.77,1,3,11,0.868,0.975,1,नीली मिट्टी का फूलदान,4518.7,7651.14
SIH-CRAFT-0016,Moradabad Brassware,Brass Craft,1327.91,27.3,5.68,1,3,22,0.782,0.895,1,ब्रास पूजा थाली,5953.8,10302.81
SIH-CRAFT-0017,Bastar Dhokra Bell Metal,Dhokra Art,398.65,2.3,0.97,0,1,4,0.294,0.256,0,ढोकरा आदिवासी मूर्ति,139.38,877.03
SIH-CRAFT-0018,Jaipur Blue Pottery,Blue Pottery,382.38,6.9,0.67,1,4,7,0.82,0.781,1,क्वार्ट्ज प्लेट,1712.7,3300.86
