craft_id,category,material_cost,labor_hours,weight_kg,is_gi_tagged,complexity_score,fair_market_price
CRAFT-001,Terracotta,250,6,1.2,1,2,1550
CRAFT-002,Terracotta,150,4,0.8,1,1,1050
CRAFT-003,Blue Pottery,600,12,1.5,1,4,2850
CRAFT-004,Blue Pottery,450,8,1.0,1,3,2100
CRAFT-005,Madhubani,500,16,0.3,1,5,3400
CRAFT-006,Madhubani,300,10,0.2,1,4,2250
CRAFT-007,Handloom Silk,1200,24,0.6,1,5,5200
CRAFT-008,Handloom Cotton,400,8,0.5,0,2,1850
CRAFT-009,Brass Craft,850,14,2.5,1,4,3600
CRAFT-010,Brass Craft,1400,22,4.0,1,5,5500
CRAFT-011,Wood Carving,700,18,1.8,1,4,3950
CRAFT-012,Wood Carving,350,7,0.9,0,2,1650
CRAFT-013,Zari Embroidery,900,20,0.4,1,5,4600
CRAFT-014,Zari Embroidery,550,11,0.3,0,3,2700
CRAFT-015,Leather Craft,650,10,1.1,1,3,2650
CRAFT-016,Terracotta,320,7,1.4,1,2,1750
CRAFT-017,Blue Pottery,750,15,2.0,1,4,3450
CRAFT-018,Madhubani,650,18,0.4,1,5,3900
CRAFT-019,Handloom Silk,1500,28,0.7,1,5,6300
CRAFT-020,Wood Carving,950,22,2.2,1,5,4850
